x,y,z,r,g,b
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,-0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
-0.0,0.0,0.0,174.0,149.0,155.0
