x,y,z,r,g,b
-0.05557807,-0.049790505,0.5476122,130.0,103.0,111.0
-0.05557807,-0.041451804,0.5476122,125.0,88.0,112.0
-0.05557807,-0.03867224,0.5476122,126.0,92.0,111.0
-0.05557807,-0.035892673,0.5476122,125.0,89.0,108.0
-0.055954482,-0.024942193,0.55132097,124.0,90.0,118.0
-0.05263631,-0.049623597,0.5457765,128.0,97.0,118.0
-0.05263631,-0.04685335,0.5457765,134.0,99.0,118.0
-0.05263631,-0.0440831,0.5457765,132.0,100.0,115.0
-0.05272468,-0.041382212,0.5466928,131.0,92.0,118.0
-0.05272468,-0.03860731,0.5466928,134.0,98.0,120.0
-0.05263631,-0.035772353,0.5457765,133.0,98.0,113.0
-0.05272468,-0.03305751,0.5466928,140.0,110.0,123.0
-0.05281335,-0.030333538,0.5476122,134.0,112.0,138.0
-0.05281335,-0.027553972,0.5476122,127.0,99.0,126.0
-0.05272468,-0.02473281,0.5466928,130.0,97.0,113.0
-0.05272468,-0.02195791,0.5466928,130.0,98.0,114.0
-0.052548233,-0.016353197,0.5448632,128.0,93.0,118.0
-0.052460447,-0.013564886,0.543953,134.0,98.0,125.0
-0.05272468,-0.0053085093,0.5466928,142.0,106.0,106.0
-0.05272468,-0.0025336093,0.5466928,138.0,109.0,120.0
-0.05281335,2.4169654E-4,0.5476122,135.0,103.0,121.0
-0.05281335,0.0030212633,0.5476122,139.0,107.0,134.0
-0.05281335,0.00580083,0.5476122,143.0,118.0,128.0
-0.05272468,0.008565991,0.5466928,150.0,106.0,140.0
-0.05281335,0.01413953,0.5476122,139.0,111.0,124.0
-0.05281335,0.016919097,0.5476122,139.0,111.0,124.0
-0.049384207,-0.051872175,0.54034233,136.0,99.0,119.0
-0.04963129,-0.049375318,0.5430458,135.0,101.0,117.0
-0.0497142,-0.04669681,0.543953,138.0,97.0,117.0
-0.04963129,-0.03559337,0.5430458,141.0,109.0,118.0
-0.049964603,-0.03305751,0.5466928,148.0,106.0,131.0
-0.05004863,-0.030333538,0.5476122,140.0,113.0,145.0
-0.05004863,-0.027553972,0.5476122,137.0,104.0,129.0
-0.049302395,-0.024405014,0.5394472,138.0,108.0,137.0
-0.0497142,-0.021847866,0.543953,124.0,99.0,120.0
-0.04979739,-0.019118812,0.5448632,128.0,95.0,118.0
-0.04979739,-0.016353197,0.5448632,128.0,94.0,117.0
-0.04963129,-0.013542263,0.5430458,131.0,92.0,110.0
-0.04963129,-0.010785874,0.5430458,140.0,106.0,121.0
-0.04963129,-0.008029485,0.5430458,141.0,101.0,123.0
-0.04963129,-0.0052730967,0.5430458,138.0,104.0,122.0
-0.0497142,-0.0025209119,0.543953,141.0,105.0,127.0
-0.04988086,2.4088632E-4,0.5457765,140.0,108.0,121.0
-0.049964603,0.0030161908,0.5466928,139.0,108.0,135.0
-0.04979739,0.0057717105,0.5448632,140.0,108.0,125.0
-0.0497142,0.008523062,0.543953,140.0,106.0,126.0
-0.04988086,0.011321883,0.5457765,136.0,99.0,132.0
-0.04988086,0.0140921315,0.5457765,126.0,108.0,131.0
-0.04988086,0.016862381,0.5457765,146.0,111.0,129.0
-0.0497142,0.049937963,0.543953,123.0,94.0,123.0
-0.04979739,0.05278714,0.5448632,128.0,88.0,119.0
-0.049964603,0.05573929,0.5466928,131.0,93.0,121.0
-0.04988086,0.058416117,0.5457765,132.0,101.0,114.0
-0.04612045,-0.053987715,0.5341377,141.0,105.0,114.0
-0.046196226,-0.05136079,0.53501534,142.0,107.0,129.0
-0.04627226,-0.037844837,0.5358959,132.0,105.0,118.0
-0.04627226,-0.035124738,0.5358959,138.0,107.0,118.0
-0.046348542,-0.032458063,0.53677934,139.0,108.0,132.0
-0.046044916,-0.0295387,0.53326297,138.0,110.0,141.0
-0.046196226,-0.026920142,0.53501534,145.0,116.0,151.0
-0.04627226,-0.02424435,0.5358959,139.0,108.0,132.0
-0.046196226,-0.021488886,0.53501534,138.0,98.0,134.0
-0.04688962,-0.01905504,0.5430458,133.0,103.0,129.0
-0.046733744,-0.013497243,0.5412405,136.0,100.0,132.0
-0.046656188,-0.010732178,0.54034233,142.0,110.0,154.0
-0.046578895,-0.007976276,0.5394472,141.0,103.0,136.0
-0.046656188,-0.005246845,0.54034233,144.0,109.0,128.0
-0.046578895,-0.0025000302,0.5394472,141.0,102.0,123.0
-0.046501856,2.37699E-4,0.53855497,143.0,110.0,125.0
-0.04627226,0.0029566225,0.5358959,145.0,111.0,148.0
-0.046501856,0.005704887,0.53855497,142.0,106.0,126.0
-0.046578895,0.008452461,0.5394472,138.0,106.0,107.0
-0.046578895,0.011190584,0.5394472,136.0,99.0,124.0
-0.046578895,0.013928708,0.5394472,139.0,106.0,138.0
-0.046578895,0.01666683,0.5394472,144.0,113.0,135.0
-0.046578895,0.019404953,0.5394472,142.0,118.0,127.0
-0.046578895,0.022143075,0.5394472,146.0,119.0,132.0
-0.046967953,0.044415977,0.543953,128.0,98.0,130.0
-0.046656188,0.046863817,0.54034233,132.0,101.0,134.0
-0.04688962,0.04985468,0.5430458,125.0,95.0,148.0
-0.04688962,0.052611068,0.5430458,123.0,112.0,116.0
-0.04688962,0.05536746,0.5430458,130.0,95.0,117.0
-0.046967953,0.058220945,0.543953,135.0,101.0,139.0
-0.04704655,0.061083984,0.5448632,137.0,105.0,140.0
-0.04704655,0.0638496,0.5448632,135.0,105.0,125.0
-0.04704655,0.06661521,0.5448632,128.0,96.0,105.0
-0.04321111,-0.053723335,0.53152204,118.0,87.0,106.0
-0.043140687,-0.05094228,0.5306558,120.0,95.0,103.0
-0.04300053,-0.04809203,0.5289318,133.0,99.0,116.0
-0.043070495,-0.045481164,0.5297924,134.0,103.0,123.0
-0.04328176,-0.043001942,0.5323911,136.0,104.0,129.0
-0.04328176,-0.040299635,0.5323911,132.0,100.0,122.0
-0.04328176,-0.037597325,0.5323911,122.0,98.0,116.0
-0.04328176,-0.034895018,0.5323911,131.0,106.0,125.0
-0.04328176,-0.03219271,0.5323911,126.0,110.0,135.0
-0.04328176,-0.029490404,0.5323911,130.0,108.0,137.0
-0.04328176,-0.026788097,0.5323911,128.0,108.0,147.0
-0.04335264,-0.024125235,0.53326297,126.0,105.0,122.0
-0.04335264,-0.0214185,0.53326297,135.0,118.0,152.0
-0.04328176,-0.018681174,0.5323911,132.0,115.0,143.0
-0.04335264,-0.016005035,0.53326297,136.0,101.0,121.0
-0.04335264,-0.010591569,0.53326297,140.0,108.0,128.0
