x,y,z,r,g,b
-0.036417425,0.013206684,0.51148385,81.0,73.0,109.0
-0.03647472,0.041830447,0.5122886,83.0,75.0,98.0
-0.036532197,0.04450073,0.5130958,85.0,70.0,101.0
-0.033571433,-0.03841533,0.5074979,86.0,76.0,107.0
-0.03404904,-0.023286242,0.51471794,82.0,71.0,108.0
-0.03388834,-0.020576065,0.5122886,87.0,73.0,99.0
-0.03378204,-0.0153272925,0.5106816,80.0,65.0,119.0
-0.033676405,-0.0075273365,0.50908476,87.0,69.0,101.0
-0.03372914,-0.004951068,0.509882,99.0,80.0,95.0
-0.03378204,-0.0023667181,0.5106816,89.0,63.0,49.0
-0.03378204,2.2539671E-4,0.5106816,87.0,69.0,104.0
-0.03378204,0.0028175116,0.5106816,83.0,64.0,108.0
-0.03372914,0.007989212,0.509882,81.0,64.0,115.0
-0.03378204,0.010593856,0.5106816,79.0,59.0,97.0
-0.033835106,0.013206684,0.51148385,79.0,77.0,92.0
-0.03372914,0.01575338,0.509882,76.0,63.0,94.0
-0.033676405,0.018312758,0.50908476,77.0,63.0,95.0
-0.033676405,0.020896768,0.50908476,84.0,59.0,94.0
-0.03372914,0.023517547,0.509882,79.0,63.0,88.0
-0.033835106,0.03397618,0.51148385,68.0,49.0,54.0
-0.033835106,0.036572367,0.51148385,73.0,53.0,87.0
-0.033835106,0.03916855,0.51148385,75.0,49.0,37.0
-0.033835106,0.04176474,0.51148385,73.0,50.0,83.0
-0.033835106,0.044360925,0.51148385,77.0,56.0,85.0
-0.03388834,0.04703099,0.5122886,72.0,58.0,93.0
-0.033835106,0.049553297,0.51148385,76.0,55.0,87.0
-0.03378204,0.052067693,0.5106816,86.0,67.0,92.0
-0.033835106,0.054745674,0.51148385,89.0,69.0,105.0
-0.03388834,0.057432074,0.5122886,83.0,71.0,100.0
-0.03388834,0.060032345,0.5122886,81.0,57.0,88.0
-0.03388834,0.06523289,0.5122886,79.0,59.0,103.0
-0.03388834,0.06783316,0.5122886,73.0,57.0,78.0
